<<<<<<< HEAD
Team,Winpct,FG,X2P,X2PA,X2Ppct,X3PtM,X3PA,X3Ppct,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,OffRtg,DefRtg,ASTpct,ASTpTO,ASTRatio,OREBpct,DREBpct,REBpct,TORatio,eFGpct,Tspct,FTARate,OppeFGpct,OppFTARate,OppToRatio,OppOREBpct,OppREB,Opp3PM,Opp3PA,Opp3Ppct,Opp2PM,Opp2PA,Opp2Ppct
Atlanta Hawks,74.1,46.7,2303,4547,0.506,10,26.2,38.2,16.6,21.3,8.7,31.8,40.5,25.9,14.2,9.1,4.6,4.9,17.8,19.7,106.5,100.8,67.9,1.82,19.7,21.4,73.3,48.2,14.7,52.8,56.5,0.262,49.2,0.241,16.6,26.7,43.6,720,2112,0.341,2271,4703,0.483
Boston Celtics,47.5,44.3,2533,5190,0.488,8,24.6,32.6,15.6,20.6,11.1,32.8,43.8,24.4,13.8,8.2,3.5,5.3,21.3,18.9,101.8,102.2,62.6,1.77,18,24.7,75.1,49.5,13.8,48.9,52.3,0.235,49.4,0.276,15.2,24.9,44.7,607,1804,0.336,2518,5139,0.49
Brooklyn Nets,45.7,45.1,2528,5171,0.489,6.6,19.9,33.1,16.6,22.1,10.4,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,101.8,105.1,55.8,1.51,16.4,23.9,73.7,48.9,14.4,49,52.8,0.267,50.6,0.254,14.4,26.3,44.4,696,1944,0.358,2454,4969,0.494
Charlotte Hornets,40.7,42,2415,5366,0.45,6,18.9,31.7,17.1,22.9,10,34.1,44.2,20.2,11.9,6.1,5.5,5.4,18.3,20.9,97.6,100.9,56.9,1.7,15.9,22.1,79.3,49.9,12.3,45.6,49.7,0.27,48.6,0.246,13.1,20.7,44.3,649,1816,0.357,2371,5047,0.47
Chicago Bulls,60.5,44.2,2356,4972,0.474,7.9,22.2,35.4,19.7,25.2,11.8,33.9,45.7,21.8,13.9,6.2,5.8,5.3,18.3,21.2,104.9,101.7,59.5,1.57,16.8,27.1,74.3,51.3,14.4,48.9,53.6,0.304,47.4,0.245,12.6,25.7,43.4,538,1605,0.335,2557,5504,0.465
Cleveland Cavaliers,64.2,45.8,2263,4486,0.504,10,27.4,36.4,17.8,23.7,11.1,31.8,43,22,14.3,7.4,4.1,4.5,18.4,20.6,107.7,104.1,58.6,1.55,17.1,26.8,74.8,51.2,14.9,51.9,55.7,0.288,50.2,0.238,14.1,25.2,41,634,1848,0.343,2487,5002,0.497
Dallas Mavericks,61.3,46.3,2523,4954,0.509,8.9,25.5,35.1,16.8,22.3,10.4,31.7,42.1,22.6,12.9,8.1,4.5,3.8,20.1,22.2,107.3,103.7,56.9,1.76,17.2,23.5,72.1,47.7,13.1,51.5,55,0.26,50.4,0.272,16.5,27.9,46.2,741,2034,0.364,2376,4896,0.485
Denver Nuggets,37.5,43.2,2439,5126,0.476,8,24.8,32.4,17.7,24.2,12.2,32.4,44.6,21.8,14.1,7.8,4.5,6.1,22.9,20.7,101.4,105.2,57.8,1.54,16.3,26.3,74.8,49.7,14.2,47.8,51.7,0.277,50.3,0.317,14.4,25.2,45.1,631,1823,0.346,2533,5086,0.498
Detroit Pistons,38.3,43.1,2338,4995,0.468,8.6,24.9,34.4,15.7,22.4,12.8,32.1,44.9,21.6,13.4,7.5,4.7,4.8,19,19.3,102.1,104.3,58.4,1.61,16.5,27.7,75,50.4,13.9,48.1,51.4,0.26,50.3,0.248,14.5,25,44.2,635,1789,0.355,2471,5028,0.491
Golden State Warriors,81.3,47.7,2527,4920,0.514,10.7,27.1,39.6,15.8,20.6,10.4,34.4,44.8,27.4,14.4,9.3,6,3.6,19.8,18.7,109.4,98,65.8,1.9,19.8,24,74.6,50.1,14.4,53.8,57,0.236,46.9,0.282,15.9,25.4,44.6,592,1757,0.337,2439,5327,0.458
Houston Rockets,67.9,44.3,2099,4152,0.506,11.4,32.7,34.7,18.5,25.9,11.8,31.8,43.6,22.1,16.6,9.5,4.9,5.3,22,21.1,104.1,100.7,59.9,1.33,16.6,26.9,72.9,49.9,16.7,51.1,54.7,0.311,48.7,0.278,16.4,27.1,43.8,605,1881,0.322,2487,5102,0.487
Indiana Pacers,46.3,44.1,2386,5084,0.469,7.4,21.1,35.3,16.9,22.3,10.4,34.5,44.8,21.5,14,6.2,4.5,4.8,21.2,21.4,101.1,101,58.8,1.54,16.8,24,78.1,51.4,14.5,48.5,52.5,0.269,48,0.289,13.2,21.9,42.5,591,1713,0.345,2358,5071,0.465
Los Angeles Clippers,67.5,47.3,2401,4628,0.519,10.1,26.8,37.6,17.8,25.2,9.5,33.1,42.6,24.8,12.3,7.8,5,3,21.4,21.5,109.8,102.9,62.9,2.01,18.8,22.7,76.1,49.9,12.7,53.3,56.5,0.302,49.3,0.314,14.7,23.9,42.8,683,1959,0.349,2301,4786,0.481
